"Sex_sys","Species","nind","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"dioecious","Rumex acetosella","21","0.000147198684682156","-0.0524766329634925","578.9091381746","0.00279718675117155","0.958372919856201","1","-162.330889146255","330.66177829251","333.79534560568","6367580.0149791","19","21"
"dioecious","Thalictrum dioicum","23","0.0549879720288337","0.00998739926830183","1288.03368174083","1.2219393811152","0.281484454010459","1","-196.289468119414","398.578936238828","401.985418886616","34839646.0712758","21","23"
"hermaphroditic","Agropyron trachycaulum","10","0.185808006815875","0.0840340076678593","886.995277417045","1.82569230227107","0.213604001765162","1","-80.9520641562318","167.904128312464","168.811883591446","6294084.97728112","8","10"
"hermaphroditic","Bromus inermis","30","0.221161014927199","0.193345336888884","2201.97856683288","7.9509481890955","0.00872931744253","1","-272.446610435892","550.893220871784","555.09681301677","135763869.046159","28","30"
"hermaphroditic","Chenopodium album","22","0.104873806735404","0.0601174970721741","133.222669959919","2.34321836461786","0.141493975558826","1","-137.792718400075","281.585436800149","284.858564160224","354965.59582499","20","22"
"hermaphroditic","Elymus innovatus","34","0.214049397278558","0.189488440943513","2191.02840142344","8.71502698667883","0.0058676632125418","1","-308.745585835561","623.491171671123","628.070253244971","153619374.587012","32","34"
"hermaphroditic","Elymus repens","33","0.0085919599307544","-0.0233889445876083","1869.8538475309","0.268659065781616","0.607912805927339","1","-294.402698868553","594.805397737107","599.294920421506","108386955.744909","31","33"
"hermaphroditic","Festuca campestris","60","0.175967473003016","0.161760015640999","1782.69175073102","12.3855710785702","0.000849044149247643","1","-533.272048674736","1072.54409734947","1078.82713103614","184323412.931217","58","60"
"hermaphroditic","Festuca pratensis","14","0.439068020169776","0.392323688517257","726.091493911728","9.39296818775068","0.00981123387558457","1","-111.013549147861","228.027098295722","229.944270284567","6326506.29037157","12","14"
"hermaphroditic","Hierochloe odorata","50","0.0101805588250955","-0.010440679532715","787.949971827197","0.493692893144778","0.485678373729152","1","-403.398106812903","812.796213625807","818.532282642091","29801527.5889191","48","50"
"hermaphroditic","Koeleria cristata","25","0.248948272360005","0.216293849419136","925.028403006628","7.62372291223155","0.0111182859636959","1","-205.176804293232","416.353608586463","420.010236061068","19680583.5664868","23","25"
"hermaphroditic","Phleum pratense","30","0.00293564900495018","-0.0326737921020159","604.971263736813","0.082440187593281","0.776131569754252","1","-233.688691692249","473.377383384498","477.580975529484","10247726.4385249","28","30"
"hermaphroditic","Plantago lanceolata","24","0.20235475688471","0.166098154924924","701.605797248066","5.58118372783948","0.0274162932808525","1","-190.291309167121","386.582618334241","390.116779825285","10829515.2841061","22","24"
"hermaphroditic","Schizachne purpurascens","12","0.00359078496706479","-0.0960501365362287","104.108458314534","0.0360372516922788","0.853236603900668","1","-71.6785317473827","149.357063494765","150.811783444129","108385.710926291","10","12"
"hermaphroditic","Stipa columbiana","10","0.352136724572419","0.271153815143971","330.279580207684","4.3482844350455","0.0705366781937423","1","-71.073062660765","148.14612532153","149.053880600512","872676.808817311","8","10"
"monoecious","Amaranthus retroflexus","16","0.314402758893862","0.265431527386281","530.03805279609","6.42015218353635","0.0238546804008499","1","-122.001946217435","250.003892434871","252.32165860159","3933164.72376619","14","16"
"monoecious","Ambrosia artemisiifolia","21","0.0125997934417271","-0.0393686384823926","395.082166892158","0.242450906737466","0.628082992319625","1","-154.307801857507","314.615603715013","317.749171028184","2965708.45332785","19","21"
"monoecious","Carex communis","18","0.213555523933658","0.164402744179511","91.5675321805357","4.34472933172498","0.0535092265198349","1","-105.788227896828","217.576455793655","220.247571067344","134153.807194135","16","18"
"monoecious","Carex hirtifolia","18","0.0530582201464914","-0.00612564109435287","152.620069936754","0.896498116785165","0.357804028305352","1","-114.983975618621","235.967951237242","238.639066510931","372686.171959995","16","18"
"monoecious","Carex pedunculata","19","0.128701589293781","0.0774487416051793","120.973963408861","2.51111099378785","0.131471044654443","1","-117.019120133406","240.038240266811","242.871557204311","248789.896988423","17","19"
"monoecious","Carex stipata","36","0.0388877605112587","0.0106197534674722","72.4853823575086","1.37568101108162","0.248990282453526","1","-204.254792825821","414.509585651642","419.26014246701","178640.442287483","34","36"
"monoecious","Rumex crispus","20","0.0356162023715264","-0.0179606752744998","167.639578242021","0.664768160004337","0.425539174479687","1","-129.761491651484","265.522983302967","268.510180123629","505854.507476926","18","20"
"monoecious","Scirpus microcarpus","14","0.00334323140564669","-0.0797114993105492","66.1459172150561","0.0402533531421678","0.844346264049603","1","-77.4721690657918","160.944338131584","162.861510120429","52503.3883706526","12","14"
